source,target,type
https://catalogue.cioos.ca/dataset/ca-cioos_c0e030c1-d846-3f24-a880-18c4d03f94d31.jsonld,https://cioosatlantic.ca/,provider
https://catalogue.cioos.ca/dataset/47f64c94-690c-43f5-b001-7159c6703bdc.jsonld,https://catalogue.cioos.ca/organization/f6f187f7-19f2-4273-a45a-5d9406204873,publisher
https://catalogue.cioos.ca/dataset/47f64c94-690c-43f5-b001-7159c6703bdc.jsonld,https://gleaner.io/xid/genid/cggj32jk59mc73f1iig0,creator
https://catalogue.cioos.ca/dataset/47f64c94-690c-43f5-b001-7159c6703bdc.jsonld,https://cioospacific.ca,provider
https://catalogue.cioos.ca/dataset/7e6d018b-8dd9-4c43-9a07-9b29ee7050a2.jsonld,https://catalogue.cioos.ca/organization/f6f187f7-19f2-4273-a45a-5d9406204873,publisher
https://catalogue.cioos.ca/dataset/7e6d018b-8dd9-4c43-9a07-9b29ee7050a2.jsonld,https://gleaner.io/xid/genid/cggj2vjk59mc73f1i5a0,creator
https://catalogue.cioos.ca/dataset/7e6d018b-8dd9-4c43-9a07-9b29ee7050a2.jsonld,https://cioospacific.ca,provider
https://catalogue.cioosatlantic.ca/dataset/1534e6ca-e607-4bcd-8b97-fcf02816f5a3,https://gleaner.io/xid/genid/cggj4ajk59mc73f1orlg,publisher
https://catalogue.cioosatlantic.ca/dataset/1534e6ca-e607-4bcd-8b97-fcf02816f5a3,https://gleaner.io/xid/genid/cggj4ajk59mc73f1orjg,creator
https://catalogue.cioosatlantic.ca/dataset/1534e6ca-e607-4bcd-8b97-fcf02816f5a3,https://gleaner.io/xid/genid/cggj4ajk59mc73f1orkg,creator
https://catalogue.cioosatlantic.ca/dataset/1534e6ca-e607-4bcd-8b97-fcf02816f5a3,https://gleaner.io/xid/genid/cggj4ajk59mc73f1ork0,creator
https://catalogue.cioos.ca/dataset/ca-cioos_2834622b-33c4-4108-bf13-2e295473b4eb1.jsonld,https://catalogue.cioos.ca/organization/f6f187f7-19f2-4273-a45a-5d9406204873,publisher
https://catalogue.cioos.ca/dataset/ca-cioos_2834622b-33c4-4108-bf13-2e295473b4eb1.jsonld,https://gleaner.io/xid/genid/cggj39bk59mc73f1jjig,creator
https://catalogue.cioos.ca/dataset/ca-cioos_2834622b-33c4-4108-bf13-2e295473b4eb1.jsonld,https://gleaner.io/xid/genid/cggj39bk59mc73f1jjgg,creator
https://catalogue.cioos.ca/dataset/ca-cioos_2834622b-33c4-4108-bf13-2e295473b4eb1.jsonld,https://cioospacific.ca,provider
https://catalogue.cioos.ca/dataset/ca-cioos_6c449900-c726-4e9a-b241-707711e253a7.jsonld,https://gleaner.io/xid/genid/cggj3j3k59mc73f1l5h0,publisher
https://catalogue.cioos.ca/dataset/ca-cioos_6c449900-c726-4e9a-b241-707711e253a7.jsonld,https://gleaner.io/xid/genid/cggj3j3k59mc73f1l5f0,creator
https://catalogue.cioos.ca/dataset/ca-cioos_6c449900-c726-4e9a-b241-707711e253a7.jsonld,https://gleaner.io/xid/genid/cggj3j3k59mc73f1l5c0,creator
https://catalogue.cioos.ca/dataset/ca-cioos_6c449900-c726-4e9a-b241-707711e253a7.jsonld,https://gleaner.io/xid/genid/cggj3j3k59mc73f1l5bg,creator
https://catalogue.cioos.ca/dataset/ca-cioos_6c449900-c726-4e9a-b241-707711e253a7.jsonld,https://gleaner.io/xid/genid/cggj3j3k59mc73f1l5g0,creator
https://catalogue.cioos.ca/dataset/ca-cioos_6c449900-c726-4e9a-b241-707711e253a7.jsonld,https://gleaner.io/xid/genid/cggj3j3k59mc73f1l5fg,creator
https://catalogue.cioos.ca/dataset/ca-cioos_6c449900-c726-4e9a-b241-707711e253a7.jsonld,https://gleaner.io/xid/genid/cggj3j3k59mc73f1l5gg,creator
https://catalogue.cioos.ca/dataset/ca-cioos_6c449900-c726-4e9a-b241-707711e253a7.jsonld,https://gleaner.io/xid/genid/cggj3j3k59mc73f1l5eg,creator
